"Table 2. Per Capita Personal Income, by Metropolitan Area, 2021–2023",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in United States,Percent change,,Rank in United States
"Owensboro, KY","49,723","51,139","53,113",285,2.8,3.9,319
"Oxnard-Thousand Oaks-Ventura, CA","74,252","73,994","78,091",33,-0.3,5.5,143
"Palm Bay-Melbourne-Titusville, FL","55,485","56,550","60,162",169,1.9,6.4,54
"Panama City, FL","54,283","53,728","56,070",238,-1.0,4.4,288
"Parkersburg-Vienna, WV","54,324","55,305","58,164",196,1.8,5.2,199
"Pensacola-Ferry Pass-Brent, FL","53,135","54,268","56,938",222,2.1,4.9,232
"Peoria, IL","55,739","57,754","60,980",157,3.6,5.6,130
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","71,896","74,485","78,761",31,3.6,5.7,114
"Phoenix-Mesa-Chandler, AZ","60,086","62,555","66,365",96,4.1,6.1,79
"Pine Bluff, AR","40,784","41,764","42,135",381,2.4,0.9,380
"Pittsburgh, PA","64,898","66,750","70,559",63,2.9,5.7,118
"Pittsfield, MA","64,927","66,336","70,945",62,2.2,6.9,23
"Pocatello, ID","46,403","48,141","49,769",330,3.7,3.4,346
"Portland-South Portland, ME","69,744","73,385","78,085",34,5.2,6.4,53
"Portland-Vancouver-Hillsboro, OR-WA","69,099","71,037","74,992",46,2.8,5.6,138
"Port St. Lucie, FL","66,466","67,952","73,080",51,2.2,7.5,10
"Poughkeepsie-Newburgh-Middletown, NY","61,504","61,675","65,115",111,0.3,5.6,132
"Prescott Valley-Prescott, AZ","50,645","51,921","55,913",243,2.5,7.7,7
"Providence-Warwick, RI-MA","63,377","64,441","67,405",88,1.7,4.6,264
"Provo-Orem, UT","52,031","54,282","57,531",211,4.3,6.0,91
"Pueblo, CO","46,844","47,031","48,891",340,0.4,4.0,315
"Punta Gorda, FL","51,866","51,827","55,332",248,-0.1,6.8,29
"Racine, WI","56,574","59,697","62,570",133,5.5,4.8,244
"Raleigh-Cary, NC","68,848","71,364","75,129",44,3.7,5.3,178
"Rapid City, SD","64,366","66,779","70,144",67,3.7,5.0,217
"Reading, PA","57,913","58,686","61,575",152,1.3,4.9,230
"Redding, CA","54,385","54,099","57,637",209,-0.5,6.5,43
"Reno, NV","74,762","76,486","81,358",22,2.3,6.4,57
"Richmond, VA","66,074","67,805","71,794",59,2.6,5.9,98
"Riverside-San Bernardino-Ontario, CA","50,700","49,908","52,553",290,-1.6,5.3,171
"Roanoke, VA","53,764","56,109","59,820",178,4.4,6.6,39
"Rochester, MN","63,801","65,848","68,561",78,3.2,4.1,307
"Rochester, NY","58,261","58,731","61,762",147,0.8,5.2,201
"Rockford, IL","51,191","51,869","54,249",260,1.3,4.6,266
"Rocky Mount, NC","48,221","48,929","51,308",310,1.5,4.9,238
"Rome, GA","44,177","44,332","46,727",366,0.4,5.4,160
"Sacramento-Roseville-Folsom, CA","66,588","66,642","70,418",64,0.1,5.7,121
"Saginaw, MI","48,903","48,088","50,278",327,-1.7,4.6,270
"St. Cloud, MN","57,754","59,713","61,633",149,3.4,3.2,354
"St. George, UT","50,741","51,650","54,405",258,1.8,5.3,169
"St. Joseph, MO-KS","46,696","48,646","51,612",301,4.2,6.1,77
"St. Louis, MO-IL","67,489","70,837","75,577",42,5.0,6.7,33
"Salem, OR","53,543","54,703","57,774",206,2.2,5.6,125
"Salinas, CA","64,975","65,331","68,943",75,0.5,5.5,144
"Salisbury, MD-DE","57,318","60,590","62,081",143,5.7,2.5,373
"Salt Lake City, UT","63,510","66,506","70,395",65,4.7,5.8,103
"San Angelo, TX","59,864","61,157","65,650",102,2.2,7.3,14
"San Antonio-New Braunfels, TX","53,978","56,592","59,477",180,4.8,5.1,209
"San Diego-Chula Vista-Carlsbad, CA","73,084","74,476","79,122",29,1.9,6.2,65
"San Francisco-Oakland-Berkeley, CA","123,973","123,152","130,730",5,-0.7,6.2,71
"San Jose-Sunnyvale-Santa Clara, CA","141,146","139,912","148,036",1,-0.9,5.8,107
"San Luis Obispo-Paso Robles, CA","68,378","68,364","72,721",52,0.0,6.4,56
"Santa Cruz-Watsonville, CA","88,329","83,277","88,581",17,-5.7,6.4,58
"Santa Fe, NM","70,477","72,932","77,717",35,3.5,6.6,41
"Santa Maria-Santa Barbara, CA","76,392","77,419","82,736",21,1.3,6.9,25
"Santa Rosa-Petaluma, CA","78,100","78,660","83,408",20,0.7,6.0,86
"Savannah, GA","55,129","55,573","58,046",198,0.8,4.5,281
"Scranton--Wilkes-Barre, PA","52,617","52,467","54,826",254,-0.3,4.5,276
"Seattle-Tacoma-Bellevue, WA","89,358","92,291","99,339",9,3.3,7.6,9
"Sebastian-Vero Beach, FL","96,551","97,627","105,827",6,1.1,8.4,1
"Sebring-Avon Park, FL","41,497","41,476","44,177",378,-0.1,6.5,46
"Sheboygan, WI","58,795","60,511","63,878",120,2.9,5.6,140
"Sherman-Denison, TX","52,462","53,088","55,946",241,1.2,5.4,163
"Shreveport-Bossier City, LA","55,609","58,177","61,150",154,4.6,5.1,207
"Sierra Vista-Douglas, AZ","49,715","50,530","53,304",281,1.6,5.5,150
"Sioux City, IA-NE-SD","58,238","62,415","65,153",109,7.2,4.4,287
"Sioux Falls, SD","74,342","75,314","78,354",32,1.3,4.0,312
"South Bend-Mishawaka, IN-MI","55,580","56,718","57,010",220,2.0,0.5,382
"Spartanburg, SC","53,005","51,359","53,700",273,-3.1,4.6,269
"Spokane-Spokane Valley, WA","53,679","54,710","57,886",202,1.9,5.8,108
"Springfield, IL","57,255","57,550","60,446",163,0.5,5.0,219
"Springfield, MA","60,981","61,165","64,303",114,0.3,5.1,204
